epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,653.254,0.48776,0.77946,0.2894,0.92368,0.99881,1,0.995,0.87248,0.99301,0.99419,0.99312,0.70635,0.54532,1.12548,0.27443,0.94429,0.000594286,0.000594286,0.000594286
67,662.804,0.47378,0.7832,0.28465,0.91977,0.99866,1,0.995,0.8673,0.99286,0.99419,0.99257,0.70559,0.56435,1.13355,0.27117,0.95907,0.000577782,0.000577782,0.000577782
68,672.392,0.49825,0.79243,0.29809,0.92806,0.99932,1,0.995,0.88403,0.9939,0.99419,0.99211,0.71544,0.51837,1.08526,0.26277,0.93192,0.000561279,0.000561279,0.000561279
69,681.989,0.47735,0.80194,0.28503,0.93019,0.99921,1,0.995,0.88591,0.9936,0.99419,0.99213,0.71244,0.52485,1.08061,0.25774,0.9281,0.000544776,0.000544776,0.000544776
70,691.577,0.48984,0.81838,0.29666,0.92313,0.99919,1,0.995,0.8862,0.99393,0.99419,0.99345,0.72018,0.53231,1.10007,0.2663,0.9318,0.000528272,0.000528272,0.000528272
71,701.114,0.46831,0.79185,0.27755,0.92128,0.99898,1,0.995,0.86978,0.99317,0.99419,0.99332,0.72709,0.55669,1.10997,0.27008,0.96069,0.000511769,0.000511769,0.000511769
72,710.671,0.45139,0.75922,0.27606,0.91439,0.99859,0.99993,0.995,0.88029,0.987,0.9883,0.98599,0.73161,0.54037,1.08864,0.26668,0.94077,0.000495266,0.000495266,0.000495266
73,720.212,0.44517,0.77299,0.27452,0.9009,0.99875,1,0.995,0.88426,0.99295,0.99419,0.99233,0.72155,0.52671,1.05565,0.25639,0.93527,0.000478762,0.000478762,0.000478762
74,729.775,0.45535,0.76737,0.27987,0.91272,0.99905,1,0.995,0.88615,0.99324,0.99419,0.99232,0.71649,0.52832,1.10997,0.25216,0.92991,0.000462259,0.000462259,0.000462259
75,739.358,0.44207,0.74742,0.27039,0.90689,0.99886,1,0.995,0.8777,0.99306,0.99419,0.99259,0.71868,0.53032,1.10078,0.25597,0.93037,0.000445756,0.000445756,0.000445756
76,748.993,0.44843,0.75957,0.27058,0.90641,0.99894,1,0.995,0.88598,0.98733,0.98837,0.98804,0.72779,0.53307,1.09744,0.26446,0.93056,0.000429253,0.000429253,0.000429253
77,759.076,0.43025,0.71956,0.25873,0.8995,0.99916,1,0.995,0.90024,0.99335,0.99419,0.9928,0.726,0.5017,1.11421,0.24853,0.91777,0.000412749,0.000412749,0.000412749
78,768.93,0.43551,0.73848,0.2643,0.90038,0.99936,1,0.995,0.89184,0.99355,0.99419,0.99358,0.73575,0.51992,1.12463,0.25984,0.92253,0.000396246,0.000396246,0.000396246
79,778.533,0.42515,0.72165,0.26116,0.89572,0.99904,1,0.995,0.89327,0.98743,0.98837,0.98685,0.7402,0.50229,1.17809,0.24994,0.91846,0.000379743,0.000379743,0.000379743
80,788.126,0.42616,0.73317,0.2578,0.90153,0.99912,1,0.995,0.89986,0.98751,0.98837,0.98893,0.73475,0.50027,1.18603,0.254,0.92251,0.000363239,0.000363239,0.000363239
81,797.77,0.4343,0.73889,0.2618,0.90789,0.99915,1,0.995,0.90439,0.99334,0.99419,0.99363,0.74168,0.50398,1.0972,0.2475,0.91979,0.000346736,0.000346736,0.000346736
82,807.342,0.42401,0.70825,0.25754,0.90014,0.99914,1,0.995,0.89341,0.98753,0.98837,0.98871,0.72917,0.51356,1.12968,0.24745,0.91979,0.000330233,0.000330233,0.000330233
